MicroRNA	Sample_P004	Sample_P018	Sample_P010	Sample_P020	Sample_P015	Sample_P005	Sample_P007	Sample_P011	Sample_P009	Sample_P001	Sample_P006	Sample_P016	Sample_P019	Sample_P013	Sample_P012	Sample_P014	Sample_P017	Sample_P003	Sample_P002	Sample_P008
hsa-miR-5695		1		2	1						2						1		1	
hsa-miR-1827		3	8	7	1			5	1		6	8	2	7	3	2	5	1	2	
hsa-miR-548c-3p			0.666666666666667						1.33333333333333	0.333333333333333	0.333333333333333			0.666666666666667		0.333333333333333	0.333333333333333		0.666666666666667	
hsa-miR-1299		3		1	1				1		1	4		2	2	2	5		2	1
hsa-miR-374c-3p				1																
hsa-miR-3130-3p			2	2				1	2			1		2	2		1			
hsa-miR-6131	3	7	8	28	3	4	1	7	6	4	4	13	8	10	8	6	3	2	5	9
hsa-miR-6845-3p	1							1		2		2		1	1	3			2	1
hsa-miR-320b	44.5	83.1666666666667	82.6666666666667	69.5	57.5	157.583333333333	67.1666666666667	236.583333333333	63.5	82.5	86	72.1666666666667	43.1666666666667	146.666666666667	87.8333333333333	163	150.833333333333	634.166666666666	125.533333333333	112.666666666667
hsa-miR-505-5p			1					1				4			1	1	5	1	1	
hsa-miR-4639-5p		1																		
hsa-miR-1264																				1
hsa-miR-3188																	2			1
hsa-miR-3664-5p				1																
hsa-let-7a-5p	1817.66666666667	21139.8333333333	21460.6666666666	15509	1817.16666666667	2623.33333333333	1674.33333333333	19659.1666666667	10480.8333333333	1200.83333333333	11120.5	13817.8333333334	3404.5	11601.8333333333	5654.5	5945.33333333333	11179	3627	7319.33333333333	1678.83333333333
hsa-miR-192-5p	210	1084	2030	1028.5	276.5	265	202	1899	1462.5	125	831	1452.5	329.5	1375	511.5	672	1969	335.5	584.5	178
hsa-miR-7-5p		13	38	7	1			3	14			33	1	2	4	2	7		2	
hsa-miR-548l			2					3	1								1			
hsa-miR-4433-3p					1															
hsa-miR-1283				1								1								
hsa-miR-3136-5p		1	1	3				1	1			2		2	1	1	2		1	
hsa-miR-499a-3p		5	1				2		1		8	9		7	2		5			
hsa-miR-6729-3p				1														1		
hsa-miR-629-3p	3	6	9	6	5	2	4	13	5	3	3	8	3	13	6	8	6	6	15	6
hsa-miR-5689											1						1			1
hsa-miR-5006-3p		2	1						1					3	1	1			1	
hsa-miR-130b-3p	37	151.5	222.5	198	90	44.5	40	241.5	103	13	105	168.5	88	194	96	138.5	146.5	56	101.5	36
hsa-miR-548z	0.5	0.5	2.16666666666667	1	0.5	0.5		3.5	4.58333333333333	0.333333333333333	0.666666666666667	2.5		3.16666666666667		1.33333333333333	4.33333333333333	0.5	1.16666666666667	
hsa-let-7c-5p	303	3964.66666666667	2417.5	2823.66666666667	427	807.5	613.333333333333	3687.16666666667	1161.66666666667	295	3459	1388.5	733.5	3561.83333333333	1628	2084.16666666667	2727	1145.5	1343.83333333333	461
hsa-miR-518d-3p			1		1				1											
hsa-miR-377-3p	10	24	37	50	11	8	9	61	22	4	37	32	14	53	10	12	49	6	18	3
hsa-miR-6783-3p									1						1					1
hsa-miR-4319				1																
hsa-miR-6815-5p								1												
hsa-miR-6772-3p		1			2		1										1			1
hsa-miR-374c-5p	0.333333333333333	1.83333333333333	4	5.33333333333333	0.333333333333333	0.833333333333333		2.33333333333333	2		2.16666666666667	2.83333333333333		2.66666666666667	1.33333333333333	0.333333333333333	1.83333333333333	2.33333333333333	0.5	
hsa-miR-874-3p	73	134	140	88	55	182	73	276	85	84	125	113	124	304	113	178	305	211	210	65
hsa-miR-199b-3p	589	9280.5	7904	5050	1518.5	1084	856.5	9369	7220	894.5	6320.5	7629.5	2196.5	12810.5	3549	2911	7913	1648	2517	694.5
hsa-miR-137		1									1	1				1	1		1	
hsa-miR-6165																1				
hsa-miR-454-3p	15	216	453	118	24	18	26	212	168	15	137	320	42	146	61	57	146	27	67	11
hsa-miR-1278															1					
hsa-miR-331-3p	74	219	321	144	128	318	116	342	100	35	194	136	107	365	132	282	390	477	272	81
hsa-miR-187-3p	12	156	7	184	30		1	69	64	7	3	63	13	16	16	20	28	3	35	4
hsa-miR-5699-3p			1														1			
hsa-miR-6746-3p						1										2	1			
hsa-miR-6720-3p						1					1	1				1	3			
hsa-miR-4433b-3p							1													
hsa-miR-924								1									1			
hsa-miR-874-5p	1	8	5	10	5	21	11	20	2	4	10	13	5	28	4	20	18	15	24	3
hsa-miR-579-3p			4	1					2	1				1	1		1			1
hsa-miR-577	1	1	16	33		1	2	14	1		7	3	3	2	1	1	6	4	2	
hsa-miR-6505-3p	1										1						3	2		
hsa-miR-382-5p	2	32	17	34	11	2		17	23	6	17	9	14	37	7	8	46	3	11	2
hsa-miR-4770	1																			
hsa-miR-1973	2	1	2	8	3	2		1		3	7		1	2	3	2	4	2		2
hsa-miR-4473		1	1					1				1				1		1		
hsa-miR-6786-5p																				2
hsa-miR-218-1-3p			1											1						
hsa-miR-3129-3p	1	1	2	1	3		1	1	1		3	1	2	6	1	3	5			
hsa-miR-6877-3p															1					
hsa-miR-6866-5p		2	1	1	1			2	1		1				1		1			
hsa-miR-4746-5p		1				2		1	2		1			1	1	1	1		1	
hsa-miR-107	96.5	534	764.5	478	143.5	181	122.5	822.5	496	43	483.5	528.5	195.5	750.5	316.5	336	647.5	196.5	379	127
hsa-miR-5010-3p	2	7	5	3		17	7	11	3	1	10	4	6	15	9	23	16	23	10	5
hsa-miR-4804-5p								2				1						1		
hsa-miR-376a-5p		17	15	13	1	1		14	3	2	18	7		17		2	15		5	2
hsa-miR-300																	0.5			
hsa-miR-188-5p	4	10	24	7	6	4	3	12	7	2	9	12	2	9	3	8	7	5	7	3
hsa-miR-3678-5p											1									
hsa-miR-6507-5p		1				2			1					1					1	
hsa-miR-6873-3p			1																	
hsa-miR-4775		4	9	4					1		4	8		1			1			
hsa-miR-495-3p	2	38	31	32	9	8	3	39	16		32	22	10	67	6	6	58	9	13	1
hsa-miR-4507		1														0.5			1	
hsa-miR-4671-3p					1															
hsa-miR-4658					1															
hsa-miR-933					1															
hsa-miR-7845-5p			1		1							1						2		1
hsa-miR-4516	188	237	187	192	392	167	101	210	132	298	103	211	379	121	360	252	197	169	224	231
hsa-miR-518c-3p			1	3				1				1								
hsa-miR-1910-3p			1								1									1
hsa-miR-152-5p	3	21	14	25	8	3	2	22	20	3	23	18	17	20	15	9	15	6	14	
hsa-miR-204-5p	194.5	312	189	97	14	180.5	322	1259.5	1920.5	1096.5	321.5	100	83	411.5	271	763	625	542.5	513.5	95
hsa-miR-409-3p	126	475	268	775	385	361	212	608	414	191	439	296	648	1277	248	285	1316	379	526	136
hsa-miR-4666a-3p			1																	
hsa-miR-3940-3p	2	2	11	1		5	4	2	5	1	5	5	2	2	3	3	3	9	4	3
hsa-miR-4787-3p		1	3		1	2	1	1			3		2	6	3	8	3	7		1
hsa-miR-218-2-3p			1	1				2						2					1	
hsa-miR-3920			1														1			
hsa-miR-513c-3p									0.5											
hsa-miR-6742-3p		1																		1
hsa-miR-519b-5p				0.333333333333333	0.166666666666667															
hsa-miR-548az-3p			0.5																	
hsa-miR-212-5p	1	5	9	6			1	1	3	3	3	7	2	9	2	2	7		6	3
hsa-miR-183-5p	134	1440	1359	597	179	190	202	1006	502	77	1173	785	164	866	582	310	605	111	673	177
hsa-miR-6796-3p									1	1		1				2	1			
hsa-miR-889-3p	3	76	63	67	10	9	4	30	34		27	41	15	99	10	10	51	3	14	3
hsa-miR-544a								1				1								
hsa-miR-6732-3p											1					1	1		1	
hsa-miR-15a-3p	2	1	4	1	1			1	1		1	2	1							
hsa-miR-135b-3p	1	26	30	4	3	9	1	5	8		8	16	4	4	5	3	7	1	5	3
hsa-miR-3614-3p			3	1				1				1								
hsa-miR-548ai			1.5	1.5		0.5							1							
hsa-miR-501-3p	28	63	87	114	24	50	41	131.5	56.5	21	50	60	75	102.833333333333	59	81	111.5	57	73	38
hsa-miR-4520a-3p	2.5	2.5	4.5		0.5	1.5	1		1		1.5	1		0.5			1.5		2	2.5
hsa-miR-574-5p	9	68	128	161	14	27	12	94	38	7	62	45	19	100	30	51	65	25	76	13
hsa-miR-33a-3p	1	30	16	19	7	2	5	18	14		20	13	5	10	4	3	12	4	6	5
hsa-miR-1909-5p																			1	
hsa-miR-1226-5p																	1			
hsa-miR-4461	1	2	3	2				1	2	1		2	1	1	2		2	4	3	
hsa-miR-3665	1												1	1						
hsa-miR-3610															2					
hsa-miR-4767	1	1	4	2	1	4		6	2	1		6					1		2	
hsa-miR-5095		1	1	3	2			1					3	1	4	1		1		
hsa-miR-296-3p	2		6	9		3		1	1		1	2	1	4	1	2	2	2	5	1
hsa-miR-7160-5p								1												
hsa-miR-6720-5p		3	2					1		1		2		1		2	2	1	1	
hsa-miR-4423-3p								1												
hsa-miR-214-3p	220	632	315	676	475	844	474	1284	288	310	648	301	599	1888	537	1134	866	1256	781	315
hsa-miR-519c-5p				0.333333333333333	0.166666666666667															
hsa-miR-1197		3	2	8	1			1				1	1	2	1		2			
hsa-miR-877-3p	1	3	2			6	3	1		1		1	1	3.5	2	3	2	1	1	
hsa-miR-3141												1								
hsa-miR-6752-3p							1			2				1		1		1		
hsa-miR-5008-3p			3	1	2			1		2		2	1							
hsa-miR-6087	17	12	29	30	34	13	13	11	9	18	6	20	45	17	21	18	23	22	15	24
hsa-miR-346	1	1		1	1	4	2	7	1	1	2	1	1	2		3	1	2	4	1
hsa-miR-21-5p	2715	115323	226989	86920	15132	3925	2291	46717	76504	2674	20691	192906	28250	59825	9886	8539	55305	2927	19631	2849
hsa-miR-27b-3p	8230.5	86192.5	111865.5	22224.5	10782	12723	9791	79339	41336	4941.5	61308	58300	11977	67529.5	30118	20523.5	45473	9835	27293.5	12342
hsa-miR-6885-3p							1				1	1	1		1			1		
hsa-miR-487b-5p				1										2						
hsa-miR-197-3p	241	275	446	310	246	826	328	658	247	207	240	241	266	424	312	1078	344	1201	433	228
hsa-miR-208b-3p	19	308	45	14	1	57	18	110	1		262	438		1160	74	1	471	89	31	2
hsa-miR-326	18	36	71	91	16	52	29	96	33	18	28	47	36	75	17	73	90	92	70	7
hsa-miR-4786-5p			1	2		1			1			1	2							
hsa-miR-24-2-5p	20	165	253	67	38	53	26	195	104	9	163	145	31	232	91	73	244	66	87	27
hsa-miR-5582-3p		1	1								1								2	
hsa-miR-205-3p	6	79	62	4	6	8	9	42	19		28	35	13	30	16	11	14	8	29	15
hsa-miR-1185-1-3p	2	5	4.5	3	4	2	1	7	2.5	4	10	3	7	9	2	1	7.5	2	2.5	1
hsa-miR-548g-5p			2.08333333333333			0.25	0.25		0.25			1.11666666666667		0.583333333333333					0.2	
hsa-miR-513c-5p													1	1		1				
hsa-miR-4800-5p													1							
hsa-miR-145-5p	2038	3165	1688	5862	1106	3677	2488	5808	1212	1989	3349	1958	1620	7206	3214	8100	5732	7315	9204	1870
hsa-miR-5693			1																	
hsa-miR-4780																		1		
hsa-miR-6846-3p			1															1		
hsa-miR-602								1												
hsa-miR-2355-5p	4	20	24	12	5	7	5	29	12	1	8	59	20	26	6	10	19	8	10	2
hsa-miR-4661-5p		2	2		2	1	1	4			3			2		3	4	1		1
hsa-miR-668-5p		1																		
hsa-miR-6754-3p															1				1	
hsa-miR-16-5p	1471	12513.5	22990	13517.5	3915	3886	2276	16891	14506	1604	11747	18157	5698.5	17821.5	5971	5989	17927	3362	6786.5	1472
hsa-miR-6124			1																	
hsa-miR-3159		1	2					1			1			1		1	1		1	
hsa-miR-1302														1						
hsa-miR-433-3p	2	8	1	19	5	13	1	16	6	4	7	6	2	16	12	9	11	12	6	4
hsa-miR-187-5p									1								1			
hsa-miR-514b-3p								1												
hsa-miR-1293	2	23	22		3	1		10	2		6	6		5	6	2	16	3	4	
hsa-miR-4785	1		2	2					3		3	2	1	2			3			1
hsa-miR-7706	15	27	44	22	14	38	12	36	34	9	33	23	19	41	26	32	44	20	32	17
hsa-miR-4749-3p			1			3				1		1	1					2		2
hsa-miR-1225-3p				1	1						1			1					1	
hsa-miR-4294									1											
hsa-miR-512-5p						1														
hsa-miR-6850-3p																	1			
hsa-miR-210-3p	193	838	1399	404	282	303	281	1683	592	62	1514	456	339	1285	836	320	903	224	416	213
hsa-miR-191-5p	6804	14622	18268	26256	8154	15614	8209	25416	14169	6996	13715	15339	16697	26796	11789	19451	24124	16509	20672	6591
hsa-miR-1976	1	3	4	9	1	5		7	1		4	1	4	6	1	2	6	2	5	1
hsa-miR-3177-3p		1	2			2					3			1					1	
hsa-miR-4687-5p	2		1	3	1	5	2	8	4		4	3		2	4	4	3	4	1	1
